date,git_commit,run_name,stage,checkpoint,target_checkpoint,source_checkpoint,scope,layer_band,output_rank,output_alpha,source_lambda,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_exact_baseline,verdict,build_log,eval_log,notes
2026-05-12,700db88+dirty,rel_qv_midlate_l002,source3_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rel-okvqa-qv-midlate-l002-r64,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,qv,mid_late,64,128,0.02,86.29,52.75,54.75,,51.77,,,,reject_source_lift_insufficient,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l002_build_20260512_0813.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l002_iconqa_20260512_082319.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l002_source3_20260512_083725.log,qv residual preserved IconQA but source3 lift too small
2026-05-12,700db88+dirty,rel_qv_midlate_l005,source3_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rel-okvqa-qv-midlate-l005-r64,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,qv,mid_late,64,128,0.05,86.27,52.85,54.70,,51.74,,,,reject_source_lift_insufficient,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l005_build_20260512_0813.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l005_iconqa_20260512_082319.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l005_source3_20260512_083924.log,qv residual source3 lift too small
2026-05-12,700db88+dirty,rel_qv_midlate_l010,okvqa_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rel-okvqa-qv-midlate-l010-r64,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,qv,mid_late,64,128,0.10,86.29,53.06,,,,,,,reject_okvqa_lift_insufficient,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l010_build_20260512_0839.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l010_iconqa_20260512_085137.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_qv_midlate_l010_okvqa_20260512_090855.log,OKVQA only plus 0.35 from baseline
2026-05-12,700db88+dirty,rel_all_midlate_l010,okvqa_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rel-okvqa-all-midlate-l010-r64,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,all,mid_late,64,128,0.10,86.23,54.13,,,,,,,park_weaker_than_l020,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_all_midlate_l010_build_20260512_0922.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_all_midlate_l010_iconqa_20260512_092233.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_all_midlate_l010_okvqa_20260512_093937.log,all projection residual improved OKVQA but less than lambda 0.20
2026-05-12,700db88+dirty,rel_all_midlate_l020,partial_eval_stopped,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rel-okvqa-all-midlate-l020-r64,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,all,mid_late,64,128,0.20,86.24,55.32,54.40,55.90,,,,,reject_required_text_57.85,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_all_midlate_l020_build_20260512_0922.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_all_midlate_l020_iconqa_20260512_092233.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_all_midlate_l020_okvqa_20260512_093937.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rel_all_midlate_l020_source_remainder_20260512_095347.log,OKVQA plus 2.61 but OCRVQA and GQA fell below baseline; TextVQA would need 57.85 for target avg; stopped TextVQA
