date,git_commit,run_name,stage,checkpoint,init_checkpoint,source_data,okvqa_samples,rank,alpha,freeze_rank,lr,mm_projector_lr,source_weight,lambda_target_kl,lambda_source_kl,residual_l2,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_baseline,verdict,train_log,eval_log,notes
2026-05-12,77b8ee5+dirty,tfr_okvqa_s3000_sw1_tkl1_smoke20fastfix_20260512_103753,smoke20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-okvqa-s3000-sw1-tkl1-smoke20fastfix-20260512_103753-smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-init-target-r64-a128,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/data/tfr_lora/iconqa_okvqa_s3000_seed42.json,3000,64,128,32,5e-5,0,1.0,1.0,0.0,0.0,,,,,,,,,smoke_pass_frozen_diff_zero,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_lora_smoke20_fastfix_20260512_103753.log,,train_loss=0.50484; gradient hooks=448; frozen_values=79953920; residual_trainable_values=79953920; max_frozen_abs_diff=0.0; max_residual_abs_diff=0.0005455
2026-05-12,2e2f13f,tfr_lora_s3000_sw1_tkl1_full_20260512_104659,full_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-okvqa-s3000-sw1-tkl1-full-20260512_104659,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-init-target-r64-a128,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/data/tfr_lora/iconqa_okvqa_s3000_seed42.json,3000,64,128,32,5e-5,0,1.0,1.0,0.0,0.0,86.42,57.77,54.20,55.61,52.38,54.9900,70.7050,+0.65125,partial_gain_below_plus1,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_lora_full_s3000_sw1_tkl1_20260512_104659.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_lora_s3000_sw1_tkl1_iconqa_20260512_114722.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_lora_s3000_sw1_tkl1_okvqa_20260512_115617.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_lora_s3000_sw1_tkl1_source_remainder_20260512_120506.log,train_loss=0.23130; adapter_keys=448; max_frozen_abs_diff=0.0; max_residual_abs_diff=0.00793; OKVQA_plus5.06_but_OCR_GQA_not_preserved
