date,git_commit,run_id,stage,checkpoint,dataset,selection_mode,quota_frac,min_per_rank,rank,alpha,epochs,max_steps,ab_preserve_ratio,grad_mix,source_margin,source_scope,train_loss,active_ratio_A,active_ratio_B,rank_nonzero_A,rank_nonzero_B,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_exact_baseline,verdict,log_path,metrics_path,notes
2026-05-11,d5dfadb,rpb_q060_smoke20_20260511_223140,smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rpb-q060-r32-smoke,iconqa_txt,rpb,0.60,1,32,64,3,20,0.1,0.50,0.35,qkv,0.5145400688052177,0.100005,0.100005,1.0,1.0,,,,,,,,,smoke_pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rpb_q060_smoke20_20260511_223140.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rpb-q060-r32-smoke/migdis_mask_stats.json,"One prune at global_step=1; A/B rank nonzero coverage 1.0 across 224 modules; mean density A=0.1000054/B=0.1000047; B overlap with score global top-k mean 0.9003."
2026-05-11,a039ba4,rpb_q040_smoke20_20260511_230217,smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rpb-q040-r32-smoke,iconqa_txt,rpb,0.40,1,32,64,3,20,0.1,0.50,0.35,qkv,0.5084460094571114,0.100005,0.100005,1.0,1.0,,,,,,,,,smoke_pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rpb_q040_smoke20_20260511_230217.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rpb-q040-r32-smoke/migdis_mask_stats.json,"Two-GPU backup smoke on idle GPUs 6/7; one prune at global_step=1; A/B rank nonzero coverage 1.0 across 224 modules; mean density A=0.1000054/B=0.1000047; B overlap with score global top-k mean 0.9570."
2026-05-11,79d2008,rpb_q080_smoke20_20260511_231434,smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rpb-q080-r32-smoke,iconqa_txt,rpb,0.80,1,32,64,3,20,0.1,0.50,0.35,qkv,0.511239755153656,0.100005,0.100005,1.0,1.0,,,,,,,,,smoke_pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/rpb_q080_smoke20_20260511_231434.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-rpb-q080-r32-smoke/migdis_mask_stats.json,"Two-GPU backup smoke on idle GPUs 6/7; one prune at global_step=1; A/B rank nonzero coverage 1.0 across 224 modules; mean density A=0.1000054/B=0.1000047; B overlap with score global top-k mean 0.8273."
