run_name,stage,checkpoint,basis,rule,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,IconQA,Avg,delta_vs_baseline,required_gqa_for_target,promote,stop_reason,log_file,git_commit
samix1500_v_mid_l005_partial_20260507_173144,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samixdelta-samix1500_v_mid_l005,samix1500,v_early_mid_l005,52.66,54.80,,51.77,,86.23,,,64.28,false,required_gqa_64.28,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix1500_v_mid_l005_partial_20260507_173144.log,e6741f1181bd104dd45fba923c4bd60534ae8628
samix3000_v_mid_l005_partial_20260507_173144,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samixdelta-samix3000_v_mid_l005,samix3000,v_early_mid_l005,52.71,54.75,,51.80,,86.24,,,64.21,false,required_gqa_64.21,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix3000_v_mid_l005_partial_20260507_173144.log,e6741f1181bd104dd45fba923c4bd60534ae8628
samix1500_vo_mid_l005_partial_20260507_180256,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samixdelta-samix1500_vo_mid_l005,samix1500,vo_early_mid_l005,52.74,54.70,,51.77,,86.26,,,64.18,false,required_gqa_64.18,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix1500_vo_mid_l005_partial_20260507_180256.log,fb306abaa75cfd58e36e60ade2868510dc16fab7
samix1500_mlp_mid_l005_partial_20260507_180256,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samixdelta-samix1500_mlp_mid_l005,samix1500,mlp_early_mid_l005,52.72,54.70,,51.74,,86.27,,,64.19,false,required_gqa_64.19,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix1500_mlp_mid_l005_partial_20260507_180256.log,fb306abaa75cfd58e36e60ade2868510dc16fab7
