date,git_commit,run_name,stage,checkpoint,source_checkpoint,projector_source,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_baseline,promote,stop_reason,eval_log,notes
2026-05-11,1c3ff85,psl_baseproj_iconqa_gate_20260511_1555,iconqa_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-psl-baseprojector-iconqa-r32-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,base_projector_alpha0,55.54,,,,,,,,false,iconqa_gate_fail_lt_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/psl_baseproj_iconqa_gate_20260511_1555.log,alpha0 fully restores base projector and breaks target LoRA/projector coupling; stop before source eval
2026-05-11,1c3ff85,psl_alpha095_iconqa_gate_20260511_1606,iconqa_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-psl-alpha095-iconqa-r32-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,projector_alpha0.95,86.30,,,,,,,,true,iconqa_gate_pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/psl_alpha095_iconqa_gate_20260511_1606.log,target retained; source3 launched
2026-05-11,1c3ff85,psl_alpha095_source3_20260511_1620,source3_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-psl-alpha095-iconqa-r32-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,projector_alpha0.95,86.30,53.27,56.75,,52.35,,,,false,required_gqa_60.86_gt_feasible,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/psl_alpha095_source3_20260511_1620.log,alpha0.95 improves OCR/Text slightly but still needs unrealistic GQA to reach baseline+1; no GQA run
2026-05-11,1c3ff85,psl_alpha098_iconqa_gate_20260511_1606,iconqa_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-psl-alpha098-iconqa-r32-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,projector_alpha0.98,86.35,,,,,,,,true,iconqa_gate_pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/psl_alpha098_iconqa_gate_20260511_1606.log,target retained; source3 launched
2026-05-11,1c3ff85,psl_alpha098_source3_20260511_1620,source3_gate,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-psl-alpha098-iconqa-r32-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,projector_alpha0.98,86.35,52.91,55.55,,51.90,,,,false,required_gqa_62.67_gt_feasible,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/psl_alpha098_source3_20260511_1620.log,alpha0.98 keeps target but source gains are too small; no GQA run
