date,git_commit,run_name,stage,checkpoint,calibration_data,coco_rows,max_steps,learning_rate,gate_init,gate_anchor,gate_reg_lambda,gate_mean,gate_min,gate_max,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_exact_baseline,required_gqa_for_target,promote,stop_reason,train_log,eval_log,notes
2026-05-08,0e8bae0,gatecal_coco1500_smoke20_nockpt_20260508_174329,smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-gatecal-coco1500-smoke20-nockpt-20260508_174329-smoke,coco1500,1500,20,5e-2,0.95,1.0,1e-3,0.947410,0.933579,0.964659,,,,,,,,,,false,smoke_pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/gatecal_coco1500_smoke20_nockpt_20260508_174329.log,,"train_loss=0.687648; use_deepspeed=0; gradient_checkpointing=False; per_device_train_batch_size=1; adapter has no gatecal_logit"
2026-05-08,09d8ab0,gatecal_coco1500_s200_partial_20260508_1803,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-gatecal-coco1500-s200-20260508_175337,coco1500,1500,200,5e-2,0.95,1.0,1e-3,0.844958,0.334777,0.993063,55.59,,,,,,,,,false,fail_iconqa_gate_lt_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/gatecal_coco1500_s200_20260508_175337.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/gatecal_coco1500_s200_partial_eval_20260508_1803.log,"train_loss=0.799565; eval stopped after IconQA; gates too aggressive"
2026-05-08,09d8ab0,gatecal_coco3000_s200_partial_20260508_1803,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-gatecal-coco3000-s200-20260508_175337,coco3000,3000,200,5e-2,0.95,1.0,1e-3,0.863547,0.389464,0.992796,55.65,,,,,,,,,false,fail_iconqa_gate_lt_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/gatecal_coco3000_s200_20260508_175337.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/gatecal_coco3000_s200_partial_eval_20260508_1803.log,"train_loss=0.904315; eval stopped after IconQA; gates too aggressive"
