date,git_commit,run_name,stage,checkpoint,method,pars_projector_lambda,pars_projector_tau,pars_projector_warmup_steps,pars_stable_rank,pars_stable_lr_mult,pars_orth_lambda,mm_projector_lr,migdis_enable,ab_preserve_ratio,cmr_lambda,omega,step_threshold,train_loss,projector_drift_final,projector_excess_final,orth_loss_final,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_exact_baseline,required_gqa_for_target,promote,stop_reason,train_log,eval_log,notes
2026-05-11,c6dfe49,llava-v1.5-7b-lorasculpt-pars-smoke2hook,smoke2,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-pars-smoke2hook-smoke,PARS-LoRA,20.0,0.020,100,8,0.25,0.01,2e-5,False,0.1,1e-3,1.0,1,1.2175137400627136,0.000100,0.000000,0.000002,,,,,,,,,,yes,pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/pars_smoke2_hook_20260511_171602.log,,single-gpu smoke passed with projector ref hook grad scaling baseline mask and checkpoint files
2026-05-11,c6dfe49,llava-v1.5-7b-lorasculpt-pars-smoke20,smoke20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-pars-smoke20-smoke,PARS-LoRA,20.0,0.020,100,8,0.25,0.01,2e-5,False,0.1,1e-3,1.0,1,0.5151149526238441,0.000100,0.000000,0.000002,,,,,,,,,,yes,pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/pars_smoke20_20260511_171959.log,,four-gpu smoke passed with one prune event active ratio A/B 0.100005 and checkpoint files
2026-05-11,f26435e,llava-v1.5-7b-lorasculpt-pars-B-balanced-r32,iconqa_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-pars-B-balanced-r32,PARS-LoRA,20.0,0.020,100,8,0.25,0.01,2e-5,False,0.1,1e-3,1.0,100,0.3302229942977428,0.069695,0.049695,0.000093,85.42,,,,,,,,,no,iconqa_below_baseline,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/llava-v1.5-7b-lorasculpt-pars-B-balanced-r32_train_20260511_172801.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/llava-v1.5-7b-lorasculpt-pars-B-balanced-r32_iconqa_eval_20260511_193339.log,B-balanced full train completed but IconQA below exact baseline 86.26 so not promoted and next run should loosen projector cap
2026-05-11,297dee7,llava-v1.5-7b-lorasculpt-pars-C-flex-r32,smoke20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-pars-C-flex-r32-smoke,PARS-LoRA,10.0,0.035,100,8,0.25,0.01,2e-5,False,0.1,1e-3,1.0,1,0.5155645936727524,0.000100,0.000000,0.000002,,,,,,,,,,yes,pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/pars_Cflex_smoke20_20260511_194416.log,,C-flex smoke passed with one baseline mask prune active ratio A/B 0.100005 and checkpoint files
