date,git_commit,run_name,baseline_lora,coco_n,epochs,lr,source_weight,lambda_target_kl,lambda_source_kl,lambda_l2,kl_temperature,use_pcgrad,eval_gamma,iconqa,okvqa,ocrvqa,gqa,textvqa,source_avg,avg,delta,required_gqa_after_partial,partial_gate,full_eval,notes
2026-05-07,9e7dce7,tpsamix_kd_coco3000_safe_g100_partial_20260507_2103,llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1,3000,1,5e-5,0.50,1.00,0.05,1e-4,2.0,false,1.00,75.44,,,,,,,,,fail_iconqa_gate,false,"raw TP-SA-MIX full checkpoint stopped after IconQA; target retention far below baseline 86.26"
2026-05-07,9e7dce7,tpsamix_src_coco3000_nopcgrad_g100_partial_20260507_2103,llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1,3000,1,1e-4,0.75,0.50,0.00,1e-4,2.0,false,1.00,80.13,,,,,,,,,fail_iconqa_gate,false,"raw TP-SA-MIX source-moving full checkpoint stopped after IconQA; target retention far below baseline 86.26"
