run_name,stage,checkpoint,iconqa_train,coco_train,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,IconQA,Avg,delta_vs_baseline,promote,stop_reason,log_file,git_commit
samix_coco1500_smoke,smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samix-coco1500-iconqa-r32-smoke-20260507_134623-smoke,10000,1500,,,,,,,,,false,smoke_pass_train_loss_1.044914,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix_coco1500_smoke_20260507_134623.log,52d7a61
samix_coco3000_smoke,smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samix-coco3000-iconqa-r32-smoke-20260507_134623-smoke,10000,3000,,,,,,,,,false,smoke_pass_train_loss_1.079229,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix_coco3000_smoke_20260507_134623.log,52d7a61
samix_coco1500_partial_20260507_163102,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samix-coco1500-iconqa-r32,10000,1500,50.17,57.10,,51.41,,84.96,,,false,required_gqa_69.91_iconqa_below_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix_coco1500_partial_eval_20260507_163102.log,2f07e40464cebcea09991897ccdebb62a4a4de09
samix_coco3000_partial_20260507_163102,partial,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-samix-coco3000-iconqa-r32,10000,3000,51.49,55.20,,52.16,,84.33,,,false,required_gqa_72.26_iconqa_below_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/lorasculpt_samix_coco3000_partial_eval_20260507_163102.log,2f07e40464cebcea09991897ccdebb62a4a4de09
