date,git_commit,run_name,stage,checkpoint,target_ckpt,source_ckpt,scope,layer_band,target_gamma,source_lambda,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_baseline,required_gqa_for_target,promote,stop_reason,fusion_log,eval_log,notes
2026-05-10,a0d19c2,osf_qv_mid_l020_iconqa_20260510_173742,iconqa_partial_stopped,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-osf-okvqaall-qv_mid-l020,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,qv,mid,1.0,0.20,85.35,,,,,,,,false,partial_iconqa_gate_fail_lt_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_llava-v1.5-7b-lorasculpt-osf-okvqaall-qv_mid-l020_20260510_173711.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_qv_mid_l020_iconqa_20260510_173742.log,Stopped after 1481 partial IconQA answers; static qv source-delta fusion hurt target before source promotion.
2026-05-10,a0d19c2,osf_qv_mid_l050_iconqa_20260510_173742,iconqa_partial_stopped,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-osf-okvqaall-qv_mid-l050,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,qv,mid,1.0,0.50,85.28,,,,,,,,false,partial_iconqa_gate_fail_lt_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_llava-v1.5-7b-lorasculpt-osf-okvqaall-qv_mid-l050_20260510_173711.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_qv_mid_l050_iconqa_20260510_173742.log,Stopped after 1481 partial IconQA answers; larger qv source injection further failed target gate.
2026-05-10,a0d19c2,osf_all_mid_l020_iconqa_20260510_173942,iconqa_partial_stopped,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-osf-okvqaall-all_mid-l020,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,all,mid,1.0,0.20,85.76,,,,,,,,false,partial_iconqa_gate_fail_lt_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_llava-v1.5-7b-lorasculpt-osf-okvqaall-all_mid-l020_20260510_173909.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_all_mid_l020_iconqa_20260510_173942.log,Stopped after 1706 partial IconQA answers; broader middle-layer fusion did not preserve target.
2026-05-10,a0d19c2,osf_all_mid_l050_iconqa_20260510_174221,iconqa_partial_stopped,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-osf-okvqaall-all_mid-l050,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,all,mid,1.0,0.50,85.62,,,,,,,,false,partial_iconqa_gate_fail_lt_86.20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_llava-v1.5-7b-lorasculpt-osf-okvqaall-all_mid-l050_20260510_174141.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/osf_all_mid_l050_iconqa_20260510_174221.log,Stopped after 2212 partial IconQA answers; OKVQA source partial was also stopped because target gate failed.
